,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
487,203082,"Ross, Terrence",Terrence Ross,1,2012,2021,terrence_ross,terrence_ross,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
488,1626179,"Rozier, Terry",Terry Rozier,1,2015,2021,terry_rozier,terry_rozier,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
489,201937,"Rubio, Ricky",Ricky Rubio,1,2011,2021,ricky_rubio,ricky_rubio,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
490,1626156,"Russell, D'Angelo",D'Angelo Russell,1,2015,2021,d'angelo_russell,dangelo_russell,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
491,1630346,"Ryan, Matt",Matt Ryan,1,2021,2021,matt_ryan,matt_ryan,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
492,1627734,"Sabonis, Domantas",Domantas Sabonis,1,2016,2021,domantas_sabonis,domantas_sabonis,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
493,203967,"Saric, Dario",Dario Saric,1,2016,2021,dario_saric,dario_saric,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
495,203107,"Satoransky, Tomas",Tomas Satoransky,1,2016,2021,tomas_satoransky,tomas_satoransky,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
496,1630648,"Schakel, Jordan",Jordan Schakel,1,2021,2021,jordan_schakel,jordan_schakel,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
497,1629678,"Schofield, Admiral",Admiral Schofield,1,2019,2021,admiral_schofield,admiral_schofield,1610612753,Orlando,Magic,ORL,magic,magic,Y,11
498,203471,"Schroder, Dennis",Dennis Schroder,1,2013,2021,dennis_schroder,dennis_schroder,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,01
500,1630206,"Scrubb, Jay",Jay Scrubb,1,2020,2021,jay_scrubb,jay_scrubb,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11
502,1630578,"Sengun, Alperen",Alperen Sengun,1,2021,2021,alperen_sengun,alperen_sengun,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
503,1629012,"Sexton, Collin",Collin Sexton,1,2018,2021,collin_sexton,collin_sexton,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
504,1629013,"Shamet, Landry",Landry Shamet,1,2018,2021,landry_shamet,landry_shamet,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
505,1630549,"Sharpe, Day'Ron",Day'Ron Sharpe,1,2021,2021,dayron_sharpe,dayron_sharpe,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11
506,1627783,"Siakam, Pascal",Pascal Siakam,1,2016,2021,pascal_siakam,pascal_siakam,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
508,1627732,"Simmons, Ben",Ben Simmons,1,2016,2021,ben_simmons,ben_simmons,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
509,1630250,"Simonovic, Marko",Marko Simonovic,1,2021,2021,marko_simonovic,marko_simonovic,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
510,1629014,"Simons, Anfernee",Anfernee Simons,1,2018,2021,anfernee_simons,anfernee_simons,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,01
512,1630579,"Sims, Jericho",Jericho Sims,1,2021,2021,jericho_sims,jericho_sims,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
514,1630606,"Smart, Javonte",Javonte Smart,1,2021,2021,javonte_smart,javonte_smart,1610612748,Miami,Heat,MIA,heat,heat,Y,11
515,203935,"Smart, Marcus",Marcus Smart,1,2014,2021,marcus_smart,marcus_smart,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
516,202397,"Smith, Ish",Ish Smith,1,2010,2021,ish_smith,ish_smith,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,01
517,1630188,"Smith, Jalen",Jalen Smith,1,2020,2021,jalen_smith,jalen_smith,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
519,1630270,"Sneed, Xavier",Xavier Sneed,1,2021,2021,xavier_sneed,xavier_sneed,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
520,203503,"Snell, Tony",Tony Snell,1,2013,2021,tony_snell,tony_snell,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
521,1630531,"Springer, Jaden",Jaden Springer,1,2021,2021,jaden_springer,jaden_springer,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
523,203917,"Stauskas, Nik",Nik Stauskas,1,2014,2021,nik_stauskas,nik_stauskas,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
524,202362,"Stephenson, Lance",Lance Stephenson,1,2010,2021,lance_stephenson,lance_stephenson,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
525,1630205,"Stevens, Lamar",Lamar Stevens,1,2020,2021,lamar_stevens,lamar_stevens,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
527,1630191,"Stewart, Isaiah",Isaiah Stewart,1,2020,2021,isaiah_stewart,isaiah_stewart,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
528,1629622,"Strus, Max",Max Strus,1,2019,2021,max_strus,max_strus,1610612748,Miami,Heat,MIA,heat,heat,Y,01
